name	team	fg	fga	xpt	fpts	pos
Stephen Gostkowski	NE	29.9	32.9	45.6	135.3	K
Justin Tucker	BAL	30.4	34.5	38.7	130.0	K
Mason Crosby	GB	27.4	32.9	47.2	129.4	K
Steven Hauschka	SEA	29.5	34.1	40.8	129.2	K
Cody Parkey	PHI	28.2	32.6	43.6	128.1	K
Adam Vinatieri	IND	27.3	30.4	44.5	126.4	K
Garrett Hartley	PIT	27.0	32.0	45.0	126.0	K
Brandon McManus	DEN	26.3	33.4	46.8	125.8	K
Dan Bailey	DAL	25.6	29.3	46.7	123.5	K
Matt Bryant	ATL	27.9	31.9	38.3	122.1	K
Dan Carpenter	BUF	28.6	32.6	33.5	119.4	K
Chandler Catanzaro	ARI	28.4	32.4	33.2	118.4	K
Dustin Hopkins	NO	24.9	29.7	42.4	117.2	K
Josh Brown	NYG	26.5	29.9	37.7	117.0	K
Graham Gano	CAR	26.2	30.9	36.8	115.4	K
Blair Walsh	MIN	26.5	33.5	35.6	115.2	K
Caleb Sturgis	MIA	26.1	33.2	36.4	114.7	K
Phil Dawson	SF	27.2	32.3	32.1	113.8	K
Nick Novak	SD	25.6	30.1	36.9	113.8	K
Cairo Santos	KC	25.3	30.3	37.6	113.3	K
Nick Folk	NYJ	26.8	31.5	31.5	111.9	K
Josh Scobee	PIT	26.0	32.2	33.9	111.9	K
Randy Bullock	HOU	26.8	32.4	31.2	111.4	K
Greg Zuerlein	STL	26.4	31.7	32.0	111.3	K
Mike Nugent	CIN	24.7	30.2	35.5	109.6	K
Matt Prater	DET	23.9	28.6	36.9	108.7	K
Kai Forbath	WAS	24.5	28.7	33.2	106.7	K
Sebastian Janikowski	OAK	25.2	29.8	30.1	105.6	K
Robbie Gould	CHI	23.3	28.3	35.2	105.2	K
Connor Barth	TB	23.3	28.0	31.0	100.9	K
Ryan Succop	TEN	23.7	28.5	29.5	100.6	K
Travis Coons	CLE	23.6	28.4	29.9	100.5	K
Patrick Murray	TB	23.4	27.0	30.2	100.3	K
Jason Myers	JAC	24.1	28.7	27.4	99.6	K
Carey Spear	FA	23.6	28.4	26.5	97.3	K
