id,last,first,pos,pos1,team,patt,pcmp,pyds,p300,ptds,pint,ratt,ryds,r100,rtds,rec,cyds,c100,ctds,fum,FGM,FGA,EPM,EPA,TD,FF,FR,INT,Sack,Saf,yds,pts,iInt,iPD,iTck,iAst,iSack,iFF,iFR,iTD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,GP,age,exp,kryd,krtd,pryd,prtd
BailDa44,Bailey,Dan,pk,,dal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,35,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,26,4,0,0,0,0
BartCo44,Barth,Connor,pk,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,7,0,0,0,0
BiroRo44,Bironas,Rob,pk,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,10,0,0,0,0
BoswCh44,Boswell,Chris,pk,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,1,0,0,0,0
BrowJo44,Brown,Josh,pk,,nyg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,31,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,35,12,0,0,0,0
BryaMa44,Bryant,Matt,pk,,atl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,32,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,39,13,0,0,0,0
BullRa44,Bullock,Randy,pk,,htx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,25,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,3,0,0,0,0
CarpDa44,Carpenter,Dan,pk,,buf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,30,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,29,7,0,0,0,0
CataCh44,Catanzaro,Chandler,pk,,crd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2014,1,0,0,0,0
CoonTr44,Coons,Travis,pk,,oti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0
CrosMa44,Crosby,Mason,pk,,gnb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,39,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,8,0,0,0,0
CundBi44,Cundiff,Billy,pk,,cle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,34,13,0,0,0,0
DawsPh44,Dawson,Phil,pk,,sfo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,38,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,39,16,0,0,0,0
DimkDe44,Dimke,Derek,pk,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0
FeelJa44,Feely,Jay,pk,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,14,0,0,0,0
FolkNi44,Folk,Nick,pk,,nyj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,8,0,0,0,0
ForbKa44,Forbath,Kai,pk,,was,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,24,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,27,4,0,0,0,0
FreeNa44,Freese,Nate,pk,,det,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,31,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24,1,0,0,0,0
GanoGr44,Gano,Graham,pk,,car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,39,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,27,6,0,0,0,0
GostSt44,Gostkowski,Stephen,pk,,nwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,39,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,9,0,0,0,0
