name	team	pass_att	pass_cmp	pass_yds	pass_tds	pass_ints	rush_att	rush_yds	rush_tds	fumbles	fpts	pos
Andrew Luck	IND	640.0	393.4	4720.1	35.3	16.1	55.5	258.6	2.3	5.5	326.4	QB
Aaron Rodgers	GB	546.6	354.8	4379.3	33.9	8.8	49.0	244.7	2.0	4.8	319.9	QB
Russell Wilson	SEA	462.9	284.9	3553.5	24.9	10.6	103.5	643.4	3.9	4.3	299.2	QB
Drew Brees	NO	621.8	415.7	4831.7	31.3	14.3	27.5	64.7	1.2	4.1	295.5	QB
Peyton Manning	DEN	596.7	393.5	4638.9	34.7	13.2	26.7	9.9	0.5	3.5	295.1	QB
Tom Brady	NE	605.2	387.8	4367.1	31.1	11.6	32.7	57.3	1.3	3.5	282.5	QB
Matt Ryan	ATL	622.9	408.8	4678.0	28.3	14.7	26.6	93.4	0.8	3.4	278.2	QB
Cam Newton	CAR	501.3	300.5	3592.3	21.8	14.5	105.0	565.9	4.6	5.8	274.3	QB
Tony Romo	DAL	507.6	333.0	4090.9	31.9	11.3	27.0	67.8	0.8	4.9	270.3	QB
Ben Roethlisberger	PIT	593.9	385.7	4539.5	28.7	13.4	28.1	68.6	0.4	5.3	268.6	QB
Matthew Stafford	DET	626.1	380.9	4456.2	27.2	14.7	36.3	108.4	1.5	5.3	266.8	QB
Ryan Tannehill	MIA	584.9	372.1	4184.4	25.8	14.8	48.6	242.8	1.5	5.8	262.7	QB
Philip Rivers	SD	569.0	367.3	4367.0	28.6	16.1	33.8	72.3	0.5	4.5	257.8	QB
Eli Manning	NYG	594.9	368.6	4397.4	27.9	16.5	23.0	66.0	0.7	5.7	254.0	QB
Colin Kaepernick	SF	484.3	292.9	3524.0	18.3	11.6	96.7	582.9	2.5	5.8	252.6	QB
Joe Flacco	BAL	554.3	342.3	3928.3	25.5	14.4	42.1	118.3	1.5	3.8	243.3	QB
Jay Cutler	CHI	569.9	355.8	3984.4	25.3	17.2	41.5	195.0	1.4	5.4	242.9	QB
Teddy Bridgewater	MIN	519.9	321.2	3732.2	22.4	14.9	62.3	274.3	1.8	3.5	240.1	QB
