name	team	rush_att	rush_yds	rush_tds	rec_att	rec_yds	rec_tds	fumbles	fpts	pos
Jamaal Charles	KC	234.6	1126.9	9.2	52.2	438.2	4.5	3.6	231.2	RB
Marshawn Lynch	SEA	278.1	1308.2	9.8	37.8	325.7	2.2	2.9	229.6	RB
Eddie Lacy	GB	283.8	1270.6	9.6	45.6	367.1	2.2	2.6	229.3	RB
Adrian Peterson	MIN	283.7	1325.6	9.8	43.4	328.8	1.5	3.4	226.3	RB
LeVeon Bell	PIT	240.9	1061.5	7.0	65.2	559.1	2.4	1.4	216.2	RB
Matt Forte	CHI	252.6	1062.8	6.5	69.3	575.9	2.4	2.2	212.6	RB
C.J. Anderson	DEN	246.4	1114.1	9.3	44.8	380.3	1.5	1.3	211.5	RB
DeMarco Murray	PHI	258.5	1180.6	10.0	37.4	271.7	1.0	4.8	201.4	RB
Jeremy Hill	CIN	256.9	1184.3	9.0	28.5	223.9	1.0	4.0	193.0	RB
LeSean McCoy	BUF	291.4	1272.6	6.6	35.6	245.4	0.9	3.0	191.3	RB
Justin Forsett	BAL	216.3	1045.1	5.7	53.4	376.8	1.4	1.8	181.2	RB
Lamar Miller	MIA	227.9	1054.0	6.7	38.2	283.6	1.1	2.6	175.1	RB
Mark Ingram	NO	229.9	1003.0	9.0	26.4	177.6	0.6	2.0	171.4	RB
Melvin Gordon	SD	232.4	1033.0	5.7	31.1	248.2	1.3	2.2	165.7	RB
Frank Gore	IND	233.5	948.5	6.4	32.8	271.4	1.5	2.6	163.7	RB
Alfred Morris	WAS	240.7	1053.1	6.9	19.9	152.1	0.6	2.0	161.3	RB
Latavius Murray	OAK	218.8	970.1	5.8	32.8	262.6	1.0	1.6	161.2	RB
Carlos Hyde	SF	239.6	1008.8	7.1	25.1	181.9	0.6	2.0	160.9	RB
Arian Foster	HOU	192.8	873.5	5.3	32.9	270.8	1.9	1.9	153.9	RB
Todd Gurley	STL	202.0	910.3	6.1	25.7	204.6	0.8	2.2	148.4	RB
Andre Ellington	ARI	185.4	732.8	3.9	50.2	441.0	1.9	2.2	148.1	RB
T.J. Yeldon	JAC	199.0	868.9	5.4	32.8	253.2	1.0	2.1	146.4	RB
Jonathan Stewart	CAR	204.5	908.6	5.1	29.6	221.1	1.0	1.5	146.4	RB
Christopher Ivory	NYJ	205.4	904.0	5.2	25.2	174.2	0.8	1.9	140.0	RB
Joseph Randle	DAL	199.2	910.5	6.1	18.6	140.7	0.6	3.3	139.1	RB
Rashad Jennings	NYG	189.3	782.4	5.8	30.8	235.3	0.8	1.4	138.5	RB
LeGarrette Blount	NE	188.4	836.5	7.6	14.3	99.5	0.3	1.6	138.3	RB
Joique Bell	DET	181.7	730.4	6.0	32.4	283.2	0.9	2.5	138.3	RB
Giovani Bernard	CIN	133.0	550.3	4.0	50.3	397.4	1.7	1.1	126.8	RB
Isaiah Crowell	CLE	197.3	825.4	5.5	18.1	141.0	0.5	3.3	125.8	RB
Devonta Freeman	ATL	157.7	629.2	4.0	39.7	333.1	1.2	1.6	124.2	RB
Ameer Abdullah	DET	138.4	593.4	4.3	41.1	322.8	1.6	1.9	122.9	RB
Tevin Coleman	ATL	162.4	687.0	5.3	28.0	213.1	0.9	1.9	122.9	RB
C.J. Spiller	NO	107.9	470.6	2.6	60.9	475.3	2.9	3.0	121.3	RB
Doug Martin	TB	195.2	767.2	4.4	23.4	152.4	0.2	1.4	117.4	RB
Bishop Sankey	TEN	162.2	661.1	3.5	20.9	154.7	0.4	2.6	99.9	RB
Ryan Mathews	PHI	128.5	586.8	5.0	14.6	121.4	0.6	2.4	99.4	RB
Shane Vereen	NYG	84.7	348.7	2.4	47.9	423.2	1.7	1.3	99.1	RB
Darren McFadden	DAL	137.9	559.0	4.5	17.9	135.4	0.6	1.5	97.5	RB
Alfred Blue	HOU	151.1	586.7	2.8	17.8	148.2	0.6	1.0	92.2	RB
Tre Mason	STL	133.6	586.3	2.7	19.0	155.7	0.5	1.7	90.0	RB
Charles Sims	TB	108.4	416.4	2.4	39.9	339.2	0.8	2.6	89.9	RB
