name	team	rec_att	rec_yds	rec_tds	fumbles	fpts	pos
Rob Gronkowski	NE	82.0	1068.3	9.9	0.3	165.8	TE
Jimmy Graham	SEA	68.9	838.3	8.7	1.2	133.9	TE
Greg Olsen	CAR	76.4	912.6	5.6	0.6	123.5	TE
Travis Kelce	KC	73.3	849.1	6.1	2.1	117.0	TE
Martellus Bennett	CHI	77.7	820.2	5.3	0.3	113.3	TE
Jason Witten	DAL	64.3	736.4	5.9	0.4	108.1	TE
Zach Ertz	PHI	54.4	674.3	5.0	0.9	95.8	TE
Delanie Walker	TEN	58.1	682.1	4.3	0.9	92.4	TE
Jordan Cameron	MIA	51.3	618.2	4.5	0.4	88.2	TE
Dwayne Allen	IND	41.8	494.6	6.6	0.4	88.0	TE
Coby Fleener	IND	44.5	550.9	4.9	0.3	84.1	TE
Kyle Rudolph	MIN	52.3	564.4	4.6	0.3	83.8	TE
Heath Miller	PIT	58.2	638.2	3.9	1.8	83.6	TE
Julius Thomas	JAC	51.4	579.6	4.4	0.7	83.2	TE
Antonio Gates	SD	44.3	521.4	5.3	0.6	82.7	TE
Owen Daniels	DEN	49.0	558.4	4.6	0.3	82.6	TE
Jordan Reed	WAS	59.5	610.9	3.7	1.2	80.9	TE
Tyler Eifert	CIN	53.0	558.9	3.7	0.5	77.0	TE
Jared Cook	STL	47.9	568.6	3.4	0.3	76.5	TE
Vernon Davis	SF	42.5	526.1	4.0	0.5	75.8	TE
Larry Donnell	NYG	50.9	541.6	4.4	2.4	75.6	TE
Charles Clay	BUF	49.5	542.7	3.4	0.3	74.2	TE
Austin Seferian-Jenkins	TB	49.4	548.5	3.4	1.5	71.9	TE
Richard Rodgers	GB	37.5	417.2	4.6	0.4	68.5	TE
Josh Hill	NO	39.3	426.5	4.0	0.4	66.2	TE
Eric Ebron	DET	45.6	486.7	3.0	0.5	65.9	TE
Benjamin Watson	NO	41.7	435.0	3.0	0.4	60.7	TE
Mychal Rivera	OAK	40.9	431.1	3.1	0.8	60.1	TE
Ladarius Green	SD	33.9	417.9	2.9	0.2	58.9	TE
Maxx Williams	BAL	35.3	395.5	3.1	0.4	57.3	TE
Jeff Cumberland	NYJ	31.2	354.9	3.3	0.3	54.4	TE
Jacob Tamme	ATL	38.8	396.0	2.6	0.9	53.5	TE
Brent Celek	PHI	31.2	351.9	2.9	0.9	50.9	TE
Garrett Graham	HOU	31.9	334.8	2.3	0.6	46.2	TE
Lance Kendricks	STL	25.1	261.7	3.0	0.3	43.4	TE
Andrew Quarless	GB	25.3	284.4	2.5	0.2	43.0	TE
Crockett Gillmore	BAL	25.8	285.3	2.5	0.3	42.9	TE
Gavin Escobar	DAL	18.6	226.5	3.2	0.3	41.5	TE
Virgil Green	DEN	26.6	267.7	2.3	0.3	39.8	TE
Rob Housler	CLE	26.4	295.1	1.8	0.3	39.5	TE
Darren Fells	ARI	20.6	230.5	2.5	0.3	37.4	TE
Marcedes Lewis	JAC	20.8	239.6	1.9	0.6	34.1	TE
Derek Carrier	WAS	22.4	263.9	1.3	0.3	33.7	TE
Scott Chandler	NE	20.2	229.3	1.8	0.2	33.7	TE
Clive Walford	OAK	20.4	236.5	1.7	0.2	33.4	TE
Dion Sims	MIA	21.2	234.2	1.7	0.3	33.3	TE
Ryan Hewitt	CIN	22.5	229.0	1.5	0.3	31.3	TE
Luke Willson	SEA	16.6	216.4	1.6	0.1	31.1	TE
Jermaine Gresham	ARI	22.3	215.8	1.8	0.6	31.0	TE
Daniel Fells	NYG	17.4	195.1	2.0	1.2	29.3	TE
Ed Dickson	CAR	18.7	204.9	1.5	0.3	28.7	TE
Gary Barnidge	CLE	18.1	196.3	1.4	0.2	27.6	TE
James OShaughnessy	KC	19.7	190.5	1.5	0.3	27.5	TE
Matt Spaeth	PIT	17.2	186.5	1.6	0.2	27.5	TE
Rhett Ellison	MIN	16.9	195.1	1.3	0.1	27.0	TE
Chris Gragg	BUF	16.3	173.6	1.7	0.4	26.6	TE
Tony Moeaki	ATL	13.4	162.4	1.5	0.2	24.5	TE
Anthony Fasano	TEN	14.3	143.7	1.6	0.2	23.6	TE
C.J. Fiedorowicz	HOU	15.5	164.2	1.2	0.3	23.3	TE
James Casey	DEN	10.0	111.0	2.0	0.0	23.1	TE
Brandon Myers	TB	16.9	169.5	0.9	0.2	21.8	TE
Levine Toilolo	ATL	15.3	146.5	1.0	0.1	20.2	TE
Dennis Pitta	BAL	11.5	134.5	1.0	0.0	19.5	TE
Dante Rosario	CHI	15.8	151.8	0.8	0.7	18.8	TE
Kellen Davis	NYJ	13.0	135.4	0.9	0.2	18.4	TE
Brandon Pettigrew	DET	14.0	134.4	0.9	0.3	18.1	TE
Troy Niklas	ARI	12.4	138.4	0.7	0.0	18.0	TE
Joseph Fauria	DET	9.7	107.7	1.2	0.1	17.9	TE
Jim Dray	CLE	12.1	141.8	0.7	0.3	17.6	TE
Tyler Kroft	CIN	10.4	107.8	0.9	0.3	15.8	TE
Lee Smith	OAK	12.3	110.9	0.8	0.2	15.7	TE
Craig Stevens	TEN	9.4	108.8	0.8	0.0	15.6	TE
MarQueis Gray	BUF	9.2	103.6	0.7	0.3	13.9	TE
Vance McDonald	SF	12.4	132.9	0.4	1.5	12.6	TE
MyCole Pruitt	MIN	7.6	86.3	0.7	0.1	12.5	TE
Clay Harbor	JAC	8.3	85.4	0.5	0.1	11.3	TE
Jack Doyle	IND	6.4	59.5	0.7	0.1	10.0	TE
Ifeanyi Momah	ARI	5.8	66.5	0.5	0.1	9.7	TE
Ryan Griffin	HOU	6.4	71.7	0.4	0.1	9.7	TE
Blake Bell	SF	6.4	72.2	0.4	0.1	9.6	TE
Cooper Helfet	SEA	4.7	59.2	0.6	0.0	9.4	TE
Demetrius Harris	KC	7.1	67.7	0.4	0.0	9.3	TE
D.J. Williams	WAS	5.2	59.4	0.6	0.0	9.2	TE
John Phillips	SD	5.6	59.7	0.4	0.1	8.4	TE
Michael Hoomanawanui	NE	4.5	49.3	0.5	0.0	7.8	TE
David Johnson	SD	5.3	52.0	0.4	0.1	7.6	TE
Trey Burton	PHI	5.1	51.8	0.4	0.0	7.5	TE
Tim Wright	DET	5.6	62.3	0.2	0.0	7.2	TE
Phillip Supernaw	TEN	5.7	48.7	0.4	0.0	7.2	TE
Cameron Brate	TB	3.7	44.7	0.4	0.0	6.7	TE
Garrett Celek	SF	2.6	41.3	0.4	0.0	6.7	TE
Sean McGrath	IND	3.7	44.5	0.3	0.0	6.3	TE
Chase Ford	MIN	3.8	46.4	0.3	0.0	6.2	TE
JeRon Hamm	WAS	4.0	46.2	0.3	0.0	6.2	TE
Brian Leonhardt	OAK	4.5	37.6	0.3	0.0	5.6	TE
Zach Miller	CHI	3.5	38.3	0.2	0.0	5.1	TE
Adrien Robinson	NYG	3.5	34.2	0.3	0.0	5.1	TE
J.J. Watt	HOU	3.4	37.8	0.2	0.0	5.1	TE
Jordan Thompson	DET	4.1	37.6	0.2	0.0	4.9	TE
Nic Jacobs	JAC	2.2	26.4	0.4	0.0	4.7	TE
James Hanna	DAL	3.6	36.6	0.1	0.0	4.5	TE
Orson Charles	NO	3.0	29.0	0.2	0.0	4.4	TE
Jesse James	PIT	2.6	28.9	0.2	0.0	4.3	TE
Ryan Taylor	KC	3.3	29.0	0.2	0.0	4.1	TE
Luke Stocker	TB	3.2	30.6	0.2	0.0	4.0	TE
Anthony McCoy	SEA	2.6	27.0	0.2	0.0	4.0	TE
Cory Harkey	STL	3.1	24.0	0.2	0.0	3.7	TE
Alex Smith	NO	2.0	22.9	0.2	0.0	3.5	TE
Kennard Backman	GB	1.8	20.3	0.2	0.0	3.3	TE
Bear Pascoe	CHI	2.6	18.7	0.2	0.0	3.2	TE
Brandon Williams	ARI	2.1	22.0	0.2	0.0	3.1	TE
Wes Saxton	NYJ	1.8	20.0	0.1	0.0	2.7	TE
C.J. Uzomah	CIN	1.7	19.5	0.1	0.0	2.7	TE
Nick Boyle	BAL	1.5	17.2	0.1	0.0	2.5	TE
Jake Stoneburner	MIA	1.6	16.5	0.1	0.0	2.4	TE
Dominique Jones	DEN	1.6	17.8	0.1	0.0	2.4	TE
Nick OLeary	BUF	1.4	16.2	0.1	0.0	2.3	TE
E.J. Bibbs	CLE	1.5	16.7	0.1	0.0	2.2	TE
Matthew Mulligan	BUF	1.1	9.8	0.2	0.0	2.2	TE
Richard Gordon	KC	1.9	14.5	0.1	0.0	1.9	TE
Anthony Denham	HOU	0.8	7.7	0.1	0.0	1.4	TE
Asante Cleveland	NE	0.7	3.3	0.0	0.0	0.4	TE
Malcolm Johnson	CLE	0.3	2.8	0.0	0.0	0.3	TE
