name	team	rush_att	rush_yds	rush_tds	rec_att	rec_yds	rec_tds	fumbles	fpts	pos
Antonio Brown	PIT	4.7	24.8	0.0	116.9	1539.7	9.9	1.4	213.5	WR
Demaryius Thomas	DEN	0.0	0.0	0.0	101.9	1387.3	11.4	0.5	206.2	WR
Odell Beckham Jr.	NYG	5.2	34.9	0.1	101.1	1377.5	10.1	1.3	199.7	WR
Dez Bryant	DAL	0.1	0.4	0.0	89.1	1326.1	11.4	0.8	199.5	WR
Calvin Johnson	DET	0.0	0.0	0.0	86.9	1311.5	10.0	0.5	190.3	WR
Julio Jones	ATL	1.7	10.1	0.0	103.5	1427.9	8.3	1.8	190.2	WR
Randall Cobb	GB	9.3	72.3	0.1	91.7	1253.7	9.2	1.5	185.2	WR
A.J. Green	CIN	2.7	17.1	0.0	93.8	1290.2	8.3	2.2	176.3	WR
Alshon Jeffery	CHI	5.4	34.9	0.0	86.0	1172.1	8.6	0.8	170.7	WR
Mike Evans	TB	0.0	0.0	0.0	78.8	1162.9	8.3	0.7	164.5	WR
T.Y. Hilton	IND	2.7	17.4	0.0	84.9	1207.7	7.3	1.3	164.0	WR
Emmanuel Sanders	DEN	4.8	30.6	0.1	82.7	1114.7	7.5	0.6	158.7	WR
Brandin Cooks	NO	9.9	71.7	0.1	88.9	1094.3	5.9	0.6	151.4	WR
DeAndre Hopkins	HOU	0.0	0.0	0.0	82.1	1157.1	5.8	1.6	147.5	WR
Jordan Matthews	PHI	0.0	0.0	0.0	74.2	988.8	7.7	0.6	144.0	WR
Julian Edelman	NE	7.2	54.2	0.1	93.8	996.8	6.2	1.3	139.8	WR
DeSean Jackson	WAS	4.1	21.8	0.0	65.1	1033.6	5.8	0.4	139.4	WR
Andre Johnson	IND	0.0	0.0	0.0	78.0	972.5	7.3	2.2	136.4	WR
Golden Tate	DET	2.6	15.5	0.0	80.9	1046.2	5.2	0.6	136.2	WR
Keenan Allen	SD	0.0	0.0	0.0	80.6	1025.5	5.6	1.4	133.6	WR
Sammy Watkins	BUF	2.8	16.3	0.0	66.6	968.7	6.2	1.2	133.3	WR
Jeremy Maclin	KC	0.0	0.0	0.0	72.2	950.4	6.4	0.4	132.7	WR
Brandon Marshall	NYJ	0.2	0.4	0.0	72.7	942.5	6.1	1.0	129.0	WR
Davante Adams	GB	0.0	0.0	0.0	69.8	915.9	6.3	0.4	128.5	WR
Vincent Jackson	TB	0.1	-0.2	0.0	66.0	985.1	4.8	0.9	125.8	WR
Amari Cooper	OAK	1.9	12.3	0.0	71.0	932.5	5.1	0.8	123.8	WR
Steve Smith	BAL	0.0	0.0	0.0	70.1	931.8	5.2	1.3	121.6	WR
Jarvis Landry	MIA	2.2	13.6	0.0	83.6	919.0	5.1	1.8	120.3	WR
Eric Decker	NYJ	0.0	0.0	0.0	67.5	899.9	5.1	0.3	119.7	WR
Mike Wallace	MIN	0.9	7.7	0.0	59.3	865.2	5.6	0.9	119.1	WR
Roddy White	ATL	0.0	0.0	0.0	71.5	878.8	5.7	1.8	118.5	WR
Anquan Boldin	SF	0.1	0.6	0.0	72.9	934.8	4.3	0.5	118.3	WR
Allen Robinson	JAC	0.0	0.0	0.0	73.4	899.5	4.8	0.5	117.5	WR
Michael Floyd	ARI	0.1	0.3	0.0	54.5	828.2	5.9	1.4	115.5	WR
Nelson Agholor	PHI	0.0	0.0	0.0	59.8	817.6	5.8	0.8	114.7	WR
Torrey Smith	SF	0.0	0.0	0.0	53.5	849.6	4.9	0.3	113.8	WR
Marques Colston	NO	0.0	0.0	0.0	58.0	854.0	5.0	1.0	113.5	WR
